=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.28 13:55:57 =~=~=~=~=~=~=~=~=~=~=~=
A0  A1  A2
0.88 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.40 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.41
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.41
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.41
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.41 0.42
 
0.87 0.40 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.42
 
0.87 0.41 0.41
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.41 0.41
 
0.87 0.41 0.41
 
0.87 0.40 0.41
 
0.87 0.40 0.41
 
0.87 0.41 0.41
 
0.87 0.40 0.41
 
0.87 0.40 0.42
 
0.87 0.39 0.41
 
0.87 0.40 0.41
 
0.87 0.41 0.41
 
0.87 0.40 0.41
 
0.86 0.41 0.42
 
0.87 0.39 0.41
 
0.87 0.40 0.41
 
0.87 0.40 0.41
 
0.87 0.40 0.42
 
0.87 0.40 0.42
 
0.87 0.39 0.42
 
0.87 0.39 0.41
 
0.87 0.40 0.41
 
0.87 0.40 0.41
 
0.87 0.40 0.42
 
0.87 0.40 0.41
 
0.87 0.40 0.41
 
0.87 0.40 0.41
 
0.87 0.40 0.41
 
0.87 0.40 0.41
 
0.87 0.40 0.41
 
0.87 0.40 0.42
 
0.87 0.40 0.41
 
0.87 0.40 0.41
 
0.87 0.40 0.41
 
0.87 0.39 0.41
 
0.87 0.40 0.41
 
0.86 0.40 0.41
 
0.86 0.40 0.42
 
0.86 0.39 0.41
 
0.87 0.39 0.42
 
0.87 0.40 0.41
 
0.86 0.39 0.41
 
0.87 0.39 0.41
 
0.86 0.40 0.41
 
0.86 0.40 0.41
 
0.87 0.39 0.41
 
0.87 0.40 0.41
 
0.87 0.39 0.42
 
0.87 0.40 0.42
 
0.87 0.40 0.41
 
0.87 0.41 0.42
 
0.87 0.39 0.41
 
0.86 0.40 0.41
 
0.86 0.40 0.41
 
0.86 0.40 0.41
 
0.87 0.40 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.41
 
0.86 0.39 0.42
 
0.86 0.39 0.42
 
0.86 0.39 0.41
 
