=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.03.24 08:54:25 =~=~=~=~=~=~=~=~=~=~=~=
A0  A1  A2
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.23
 
0.29 0.07 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.23
 
0.29 0.06 0.22
 
0.29 0.06 0.23
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.23
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.23
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.07 0.23
 
0.29 0.06 0.23
 
0.29 0.07 0.22
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.30 0.06 0.22
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.07 0.23
 
0.29 0.06 0.22
 
0.29 0.07 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.22
 
0.29 0.07 0.23
 
0.29 0.07 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.22
 
0.29 0.07 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.07 0.22
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.07 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.07 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.07 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.23
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.07 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.30 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.07 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.06 0.22
 
0.29 0.07 0.31
 
0.29 0.07 0.29
 
0.29 0.07 0.28
 
0.29 0.06 0.28
 
0.29 0.06 0.28
 
0.29 0.06 0.28
 
0.29 0.06 0.28
 
0.29 0.06 0.28
 
0.30 0.07 0.27
 
0.30 0.07 0.26
 
0.30 0.06 0.26
 
0.30 0.06 0.26
 
0.30 0.06 0.26
 
0.30 0.06 0.26
 
0.30 0.06 0.26
 
0.30 0.07 0.25
 
0.30 0.06 0.25
 
0.30 0.07 0.25
 
0.30 0.06 0.25
 
0.29 0.06 0.31
 
0.29 0.06 0.30
 
0.29 0.06 0.26
 
0.29 0.06 0.24
 
0.29 0.07 0.30
 
0.29 0.07 0.30
 
0.29 0.06 0.23
 
0.29 0.06 0.30
 
0.29 0.06 0.30
 
0.30 0.07 0.23
 
0.29 0.06 0.30
 
0.29 0.07 0.29
 
0.29 0.06 0.23
 
0.29 0.06 0.29
 
0.29 0.06 0.24
 
0.29 0.06 0.29
 
0.29 0.06 0.29
 
0.29 0.06 0.29
 
0.29 0.06 0.29
 
0.29 0.07 0.29
 
0.29 0.06 0.29
 
0.29 0.06 0.29
 
0.29 0.06 0.29
 
0.29 0.06 0.29
 
0.29 0.07 0.29
 
0.29 0.07 0.29
 
0.29 0.06 0.29
 
0.29 0.06 0.29
 
0.29 0.06 0.25
 
0.29 0.06 0.27
 
0.29 0.06 0.26
 
0.29 0.07 0.29
 
0.29 0.07 0.27
 
0.29 0.07 0.28
 
0.29 0.06 0.27
 
0.29 0.07 0.27
 
0.29 0.06 0.27
 
0.29 0.06 0.25
 
0.29 0.06 0.27
 
0.29 0.06 0.27
 
0.29 0.07 0.26
 
0.29 0.06 0.26
 
0.29 0.06 0.27
 
0.29 0.06 0.26
 
0.29 0.06 0.26
 
0.29 0.07 0.26
 
0.29 0.06 0.26
 
0.29 0.06 0.26
 
0.29 0.06 0.26
 
0.29 0.07 0.26
 
0.29 0.06 0.26
 
0.29 0.06 0.25
 
0.29 0.07 0.26
 
0.29 0.07 0.26
 
0.29 0.06 0.26
 
0.29 0.06 0.26
 
0.29 0.06 0.26
 
0.29 0.06 0.26
 
