=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.21 12:02:49 =~=~=~=~=~=~=~=~=~=~=~=
A0  A1  A2
0.29 0.27 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.27 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.18
 
0.29 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.18
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.27 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.27 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.18
 
0.29 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.29 0.26 0.17
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.27 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.17
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.27 0.19
 
0.29 0.27 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.18
 
0.29 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.18
 
0.29 0.26 0.19
 
0.29 0.26 0.18
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.18
 
0.28 0.26 0.18
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.16
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.18
 
0.29 0.26 0.18
 
0.29 0.26 0.18
 
0.29 0.26 0.18
 
0.29 0.26 0.19
 
0.29 0.26 0.18
 
0.28 0.26 0.17
 
0.28 0.26 0.18
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.20
 
0.29 0.26 0.18
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.17
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.25 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.17
 
0.28 0.26 0.17
 
0.28 0.26 0.17
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.27 0.17
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.17
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.27 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.16
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.25 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.16
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.16
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.16
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.16
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.16
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.17
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.29 0.26 0.18
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.18
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.18
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.25 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.25 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.29 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.17
 
0.28 0.26 0.17
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.29 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.17
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.18
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.29 0.26 0.18
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.16
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.29 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.29 0.26 0.18
 
0.28 0.26 0.18
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.25 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.17
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.29 0.26 0.19
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.29 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.29 0.26 0.18
 
0.28 0.26 0.17
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.25 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.28 0.26 0.18
 
0.28 0.26 0.17
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.17
 
0.29 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.29 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.18
 
0.28 0.26 0.17
 
0.28 0.26 0.16
 
0.28 0.26 0.18
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.28 0.26 0.19
 
0.29 0.26 0.19
 
