=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.16 11:51:52 =~=~=~=~=~=~=~=~=~=~=~=
23A0  A1  A2
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.48 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.48 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.23 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.23 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.23 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.49 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.47 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.47 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.47 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.47 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.48 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.48 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.48 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.48 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.21 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.47 0.22 0.03
 
0.48 0.22 0.03
 
0.47 0.22 0.03
