=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.27 09:17:35 =~=~=~=~=~=~=~=~=~=~=~=

A0  A1  A2
0.47 0.32 0.37
 
0.47 0.31 0.37
 
0.47 0.31 0.37
 
0.47 0.31 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.31 0.37
 
0.47 0.31 0.36
 
0.47 0.31 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.31 0.36
 
0.47 0.31 0.36
 
0.47 0.31 0.36
 
0.47 0.31 0.36
 
0.47 0.31 0.36
 
0.47 0.31 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.31 0.36
 
0.47 0.32 0.36
 
0.47 0.31 0.36
 
0.47 0.31 0.37
 
0.47 0.32 0.37
 
0.48 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.31 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.31 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.46 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.46 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.33 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.33 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.33 0.36
 
0.47 0.32 0.36
 
0.47 0.33 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.37
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.46 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.36
 
0.47 0.32 0.36
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.46 0.32 0.35
 
0.46 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.34
 
0.46 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.35
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.35
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.35
 
0.46 0.32 0.34
 
0.47 0.32 0.35
 
0.47 0.32 0.35
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.35
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.35
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.31 0.34
 
0.47 0.31 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.33 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.33 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.35
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.31 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.31 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.31 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.31 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.31 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.47 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.31 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.31 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.34
 
0.46 0.31 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.34
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.47 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.47 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.47 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.32
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.32
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.33
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.33
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.33
 
0.46 0.32 0.33
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.33
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.33
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.33
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.33
 
0.46 0.32 0.32
 
0.46 0.32 0.33
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.34 0.32
 
0.46 0.32 0.32
 
0.46 0.33 0.32
 
0.46 0.32 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.33 0.32
 
0.46 0.32 0.32
 
0.46 0.32 0.32
 
0.46 0.33 0.32
 
0.46 0.32 0.32
 
